date,day,attendance,exam,holiday,event,previous_sales,same_day_last_week,meals_sold
2026-08-03,Monday,850,0,0,0,760,750,780
2026-08-04,Tuesday,820,0,0,0,780,770,790
2026-08-05,Wednesday,900,0,0,1,790,800,850
2026-08-06,Thursday,780,1,0,0,850,820,680
2026-08-07,Friday,880,0,0,0,680,850,830
2026-08-10,Monday,860,0,0,0,830,780,800
2026-08-11,Tuesday,840,0,0,0,800,790,810
2026-08-12,Wednesday,920,0,0,1,810,850,870
2026-08-13,Thursday,760,1,0,0,870,680,650
2026-08-14,Friday,890,0,0,0,650,830,840
2026-08-17,Monday,830,0,0,0,840,800,790
2026-08-18,Tuesday,850,0,0,0,790,810,820
2026-08-19,Wednesday,930,0,0,1,820,870,880
2026-08-20,Thursday,770,1,0,0,880,650,660
2026-08-21,Friday,900,0,0,0,660,840,850
